GJ739;M3
GJ750;M0Vk:
GJ754;M4.5
LHS475;M3
L275-26;M4
LP925-37;-
V*V375Pav;M2.5
GJ781.1A;M4Ve
GJ784;M0V
L209-71;-
GJ788.1;K5.0
GJ791;M3
GJ1252;M2.5
L755-19;M3.5
LP567-63;M3.0
BD-195899;M1.5
GJ803;M1VeBa1
LHS3583;M2.5
GJ808;M1.5
LP816-60;M4V
LP756-19;M4V
GJ811.1;M2.5
GJ816;M2.5V
GJ2151;M4
GJ817;M1.5V
GJ821;M1V
LHS3639;M1:
GJ825;M1V
GJ828.2;M0V
L714-46;M4V
GJ831;M4.5V
GJ832;M2/3V
LHS512;M3.5
GJ1263;M4
GJ1264;M1Ve
L427-34;M2.5
LHS3719;M2
GJ842;M0.5
GJ843;M3.5
LHS3746;M3.5
LHS3748;M1.5
GJ849;M3.5V
LP875-68;M0Ve
GJ855;M1Vk:
LHS3804;M3.5
LP876-34;M2+Vk
GJ864;M1V
L645-74;M2
GJ865;M3Ve
GJ866;M5V
GJ867;M0Vep
GJ874;M1.5
LP932-81;-
LHS5394;-
GJ876;M3.5V
GJ877;M3V
GJ887;M2V
LTT9388;M4
LHS3909;M3
LDS5060;-
GJ1284;M2Ve
LTT9582;M3
LTT9596;-
LTT9634;M2V
LTT9635;M2.0
L26-27;Ma
GJ912;M2.5Vk
LP764-40;M1Ve
LTT9828;M7
LHS4058;M4
LP381-4;-
LP453-31;-
LP382-56;-
LP465-84;-
