GJ1001A;GJ1001A
GJ1;NLTT134
LHS1019;NLTT219
L217-28;NLTT352
GJ1005;NLTT763
LHS1051;NLTT792
GJ17.1;NLTT1112
LHS5004a;NLTT1126
GJ1009;BPM46239
LHS1064;NLTT1199
LTT220;G267-100
GJ1012;NLTT1515
GJ1013;NLTT1691
LTT313;NLTT1928
GJ1016;NLTT2264
LHS1134;GJ3049
L87-2;NLTT3163
GJ46;NLTT3208
LP707-16;NLTT3898
GJ54;NLTT3945
GJ54.1;NLTT4016
L221-60;NLTT4163
GJ1036;NLTT4291
GJ57;NLTT4527
LHS142;NLTT5121
GJ65;GJ65
L870-44;NLTT5923
L294-92;L294-92
L173-39;NLTT6094
GJ78;NLTT6243
GJ79;NLTT6302
LTT1010;NLTT6330
L88-43;NLTT6405
L655-17;NLTT6872
GJ84;NLTT6957
LHS1339;NLTT7002
GJ85;GJ85
LHS1347;NLTT7185
LHS1351;NLTT7317
GJ91;NLTT7390
LHS1373;NLTT7484
LHS1377;NLTT7535
GJ1046;NLTT7662
L225-57;L225-57
GJ103;NLTT8399
L174-28;NLTT8583
GJ1050;NLTT8645
LP993-115;CD-44836A
CD-53570;NLTT9133
GJ118;NLTT9248
LTT1445;NLTT9671
GJ121.1;NLTT9712
LHS1491;NLTT9794
GJ1054;NLTT9987
GJ130;CD-381058
LP831-45;NLTT10333
LP831-68;NLTT10442
LP994-96;LP994-96
LTT17505;NLTT10708
GJ145;NLTT11234
LHS1572;NLTT11552
G80-21;NLTT11853
GJ1065;NLTT11991
LHS1630;NLTT12606
GJ163;NLTT12693
LP715-51;NLTT13437
LP834-32;NLTT13598
L591-42;NLTT13633
GJ173;NLTT13657
LP715-39;NLTT13684
LP776-25;NLTT14116
GJ180;NLTT14144
LHS1723;NLTT14393
GJ185;HD32450
LHS1731;NLTT14433
GJ190;NLTT14559
GJ191;NLTT14668
GJ1077;LHS205
L449-1;CD-352213
LP717-36;NLTT15049
GJ204.2;NLTT15171
GJ205;NLTT15215
LHS5109;NLTT15348
LP837-19;NLTT15575
GJ218;NLTT15652
LP837-53;NLTT15833
LTT2449;V*APCol
LP838-16;NLTT16103
GJ229;NLTT16172
GJ1088;GJ1088
GJ234;NLTT16580
L32-9;NLTT16775
GJ238;NLTT16719
LP780-32;NLTT16823
CD-551514;NLTT16863
LP780-23;NLTT16836
NLTT16977;NLTT16977
L597-18;NLTT16922
GJ257;NLTT17239
GJ263;NLTT17377
LHS225;NLTT17399
GJ2055;NLTT17445
LP840-16;NLTT17454
L136-37;L136-37
GJ1097;NLTT17919
GJ2060;NLTT17946
LHS1932;NLTT18180
L528-16;NLTT18210
LHS1935;NLTT18223
L34-26;NLTT18592
LHS1955;NLTT18636
GJ298;NLTT19080
GJ300;NLTT19136
LHS1991;BD-132439
LHS1992;LHS1992
LP843-16;NLTT19190
L98-59;NLTT19357
LHS2010;LHS2010
LTT3201;NLTT19970
GJ317;NLTT20047
GJ326;NLTT20497
GJ334;NLTT20989
L749-34;NLTT21361
LHS2122;NLTT21415
GJ341;NLTT21618
Ross439;NLTT21868
GJ352;NLTT21974
GJ357;NLTT22154
GJ358;CD-405404
LHS2177;NLTT22418
GJ1128;NLTT22480
GJ367;NLTT22506
GJ1129;NLTT22505
LTT3613;NLTT22748
GJ369;NLTT22765
LTT3616;NLTT22785
GJ372;NLTT22845
LP847-48;NLTT22957
GJ375;NLTT23110
GJ377;NLTT23213
GJ381;NLTT23666
GJ382;NLTT23680
GJ386;NLTT23889
LTT3790;L392-39A
LDS303;**LDS303
L142-86;NLTT24282
GJ390;NLTT24293
LTT3877;NLTT24748
GJ399;NLTT24983
GJ1135;CD-366589
LP905-56;NLTT25257
LHS2335;GJ3634
HIP54373;NLTT26359
GJ413.1;NLTT26464
GJ422;NLTT26836
GJ1144;NLTT26816
GJ1145;NLTT26874
LP792-17;NLTT27102
LP672-42;NLTT27600
GJ431;NLTT27672
L324-51;L324-51
LHS2427;NLTT27860
L66-86;NLTT27896
GJ433;NLTT27914
GJ438;NLTT28348
LP793-33;NLTT28450
GJ443;NLTT28511
LHS2460;NLTT28614
GJ452;NLTT28864
LHS5205;L829-24
L829-10;NLTT29332
LP734-30;NLTT29735
LHS2520;NLTT29804
L758-108;NLTT29876
NLTT30359;NLTT30359
L38-47;NLTT30463
GJ465;NLTT30653
LP735-48;NLTT30749
LP735-11;Ross948
L327-121;NLTT31084
GJ477;NLTT31230
GJ479;NLTT31327
LHS337;LHS337
GJ480.1;NLTT31495
LHS2634;NLTT31881
LP853-34;NLTT31877
GJ488;NLTT32069
LHS5231;NLTT32506
LTT4969;NLTT32550
LHS2668;NLTT32598
LTT5031;NLTT33020
LHS346;LHS346
WT392;WT392
LHS2718;NLTT33708
LHS2729;NLTT33943
