L758-108;2MASS J12111179-1957376
NLTT30359;2MASS J12203376-8225577
L38-47;2MASS J12220676-7838272
GJ465;2MASS J12245243-1814303
LP735-48;2MASS J12264413-1229175
LP735-11;Ross948
L327-121;2MASS J12333310-4826111
GJ477;2MASS J12355841-4556202
GJ479;2MASS J12375231-5200055
LHS337;2MASS J12384914-3822527
GJ480.1;2MASS J12404633-4333595
LHS2634;2MASS J12470977-0334177
LP853-34;2MASS J12471005-2222369
GJ488;2MASS J12504357-0046047
LHS5231;2MASS J12591825-0010339
LTT4969;2MASS J13000398-0537477
LHS2668;2MASS J13011965-6311422
LTT5031;2MASS J13085124-0131075
LHS346;2MASS J13092037-4009264
WT392;2MASS J13130939-4130396
LHS2718;2MASS J13200391-3524437
LHS2729;2MASS J13233804-2554449
GJ510;2MASS J13254887-2822263
Ross486A;2MASS J13282106-0221365
LTT5282;2MASS J13385345-0215471
GJ521.1;2MASS J13400715-0411101
LHS2794;2MASS J13455074-1758047
LHS2813;2MASS J13512172-5332457
GJ1181;2MASS J13550260-2905257
LHS2836;2MASS J13591045-1950034
GJ536;2MASS J14010324-0239180
2MASS J14040823-6614378;2MASS J14040823-6614378
CD-3011219;2MASS J14105747-3117253
GJ2106;2MASS J14131288-5644314
GJ545;2MASS J14200739-0937127
GJ553;2MASS J14304779-0838465
GJ552.1;2MASS J14305887-5406051
GJ553.1;2MASS J14310120-1217451
GJ555;2MASS J14341683-1231106
GJ563.2A;CD-2510553A
LP859-11;2MASS J15082343-2351371
G151-37;2MASS J15154371-0725208
LHS3056;2MASS J15191181-1245061
GJ581;2MASS J15192689-0743200
GJ588;2MASS J15321302-4116314
GJ590;2MASS J15363450-3754223
GJ592;2MASS J15365868-1408006
GJ595;2MASS J15420677-1928167
LHS3117;2MASS J15472464-1053471
GJ606;2MASS J15595337-0815114
LP804-27;2MASS J16124178-1852317
LHS3169;2MASS J16142197-2830362
CD-3710765;CD-3710765
GJ620;2MASS J16230768-2442340
GJ622;2MASS J16251302-2156141
GJ628;2MASS J16301808-1239434
LHS423;2MASS J16354037-3051205
GJ633;2MASS J16404524-4559590
GJ634;2MASS J16412829-4359109
GJ637;2MASS J16482446-7258342
LP806-8;2MASS J16484597-1544198
GJ644;2MASS J16552880-0820103
LTT6745;2MASS J16553799-3204032
GJ645;2MASS J16564514-3703385
GJ1207;2MASS J16570570-0420559
L268-67;2MASS J17105916-5230559
GJ660;2MASS J17115234-0151057
GJ660.1;2MASS J17125127-0507311
GJ1212;2MASS J17134048-0825144
LP687-17;2MASS J17162064-0523512
L845-16;2MASS J17174532-1148541
L989-38;2MASS J17241695-0421520
GJ1218;2MASS J17280732-6227145
GJ674;2MASS J17283991-4653424
LHS3295;2MASS J17292729-8008573
GJ676A;2MASS J17301119-5138132
GJ680;2MASS J17351362-4840510
GJ682;2MASS J17370367-4419088
L204-148;2MASS J17383251-5832342
GJ690.1;2MASS J17423229-1638236
GJ2130A;2MASS J17461275-3206088
LTT7077;2MASS J17462934-0842362
GJ693;2MASS J17463427-5719081
L415-82;2MASS J17571423-4159290
GJ701;2MASS J18050755-0301523
L43-72;2MASS J18111528-7859227
LTT7246;2MASS J18151241-1924063
GJ714;2MASS J18301200-5816274
GJ2138;2MASS J18384474-1429249
GJ724;2MASS J18405732-1322455
LHS5341;2MASS J18430697-5436481
LTT7419;2MASS J18431250-3322462
LTT7434;2MASS J18455748-2855533
LTT7452;2MASS J18480129-1434507
L345-091;2MASS J18484134-4647078
GJ729;2MASS J18494929-2350101
LHS3413;2MASS J18495119-5726486
2MASS J18522528-3730363;2MASS J18522528-3730363
LHS469;2MASS J18533991-3836442
HD175224;2MASS J18573057-5559302
GJ739;2MASS J18590745-4816279
GJ750;2MASS J19164290-4553213
GJ754;2MASS J19204795-4533283
LHS475;2MASS J19205439-8233170
L275-26;2MASS J19340394-5225144
LP925-37;2MASS J19435179-3224035
V*V375Pav;2MASS J20040474-6536016
GJ781.1A;2MASS J20074494-3145136
GJ784;2MASS J20135335-4509506
L209-71;2MASS J20152266-5645543
GJ788.1;2MASS J20224191-5817083
GJ791;2MASS J20274166-2744506
GJ1252;2MASS J20274210-5627262
L755-19;2MASS J20284361-1128307
LP567-63;2MASS J20343113-3230595
BD-195899;2MASS J20425709-1855048
GJ803;2MASS J20450949-3120266
LHS3583;2MASS J20463725-8143141
GJ808;2MASS J20514174-7918403
LP816-60;2MASS J20523304-1658289
LP756-19;2MASS J20553771-1402078
GJ811.1;2MASS J20564659-1026534
GJ816;2MASS J21015865-0619070
GJ2151;2MASS J21031390-5657479
GJ817;2MASS J21045341-1657311
GJ821;2MASS J21091740-1318080
LHS3639;2MASS J21114955-4336489
GJ825;2MASS J21171534-3852022
GJ828.2;2MASS J21271685-0650391
L714-46;2MASS J21281830-2218319
GJ831;2MASS J21311859-0947263
GJ832;2MASS J21333397-4900323
LHS512;2MASS J21384369-3339555
GJ1263;2MASS J21464040-0010233
GJ1264;2MASS J21490591-7206085
L427-34;2MASS J21491134-4133295
LHS3719;2MASS J21492590-6306519
GJ842;2MASS J21593479-5945104
GJ843;2MASS J22020070-1928592
LHS3746;2MASS J22022935-3704512
LHS3748;2MASS J22032712-5038382
GJ849;2MASS J22094029-0438267
LP875-68;2MASS J22143835-2141535
GJ855;2MASS J22233334-5713146
LHS3804;2MASS J22250500-4752461
LP876-34;2MASS J22340049-2514323
GJ864;2MASS J22360966-0050298
L645-74;2MASS J22382467-2921139
GJ865;2MASS J22382974-6522423
GJ866;2MASS J22383372-1517573
GJ867;2MASS J22384559-2037160
GJ874;2MASS J22481735-3647233
LP932-81;2MASS J22483835-3108412
LHS5394;2MASS J22524813-2847422
GJ876;2MASS J22531672-1415489
GJ877;2MASS J22554532-7527320
GJ887;2MASS J23055131-3551130
LTT9388;2MASS J23100021-2111432
LHS3909;2MASS J23121132-1406108
LDS5060;LDS5060
GJ1284;2MASS J23301341-2023271
LTT9582;2MASS J23320018-3917368
LTT9596;2MASS J23333672-4213219
LTT9634;2MASS J23380819-1614100
LTT9635;2MASS J23381743-4131037
L26-27;2MASS J23535017-7537575
GJ912;2MASS J23553981-0608327
LP764-40;2MASS J23581366-1724338
LTT9828;2MASS J23594483-4404599
LHS4058;2MASS J23595135-3406422
LP381-4;-
LP453-31;-
LP382-56;-
LP465-84;-
